Stations,Value_i_mean_sum,Value_o_mean_sum,Value_i_mean_max,Value_o_mean_max
BL板橋,12340.406666666668,8690.266666666666,4266.92,2435.0266666666666
Y板橋,2374.2333333333336,2587.9666666666667,871.8733333333333,789.5266666666666
七張,6582.04,3240.98,2124.9866666666667,880.3866666666667
十四張,499.73333333333335,543.76,183.71333333333334,262.5933333333333
三民高中,6670.973333333333,1465.3333333333333,2507.4933333333333,395.23333333333335
三和國中,6992.22,1414.7266666666667,2633.233333333333,289.4266666666667
三重,3024.726666666667,1446.26,1151.64,342.26666666666665
三重國小,6303.44,1404.7333333333333,2166.0133333333333,267.0133333333333
土城,4109.84,1418.7,1404.4866666666667,329.64666666666665
士林,6977.573333333334,8134.093333333333,1865.7466666666667,1820.14
大安,4205.653333333334,10717.853333333333,1160.0266666666666,3645.7066666666665
大安森林公園,2030.3466666666668,2809.9733333333334,527.1933333333334,774.8066666666666
大坪林,7805.586666666667,7368.573333333334,2449.306666666667,2521.0266666666666
大直,2430.786666666667,2735.5133333333333,784.5533333333333,759.9333333333333
大湖公園,1625.68,570.5866666666667,609.36,122.66666666666667
大橋頭站,4106.746666666667,3869.9533333333334,1251.5866666666666,1157.7133333333334
小南門,2005.32,4388.406666666667,501.29333333333335,1481.96
小碧潭,1098.0533333333333,684.6066666666667,379.92,159.89333333333335
中山,4738.2,13502.133333333333,1122.9333333333334,3705.153333333333
中山國小,4144.38,5918.293333333333,1219.4933333333333,2153.133333333333
中山國中,3818.62,5078.86,1282.6466666666668,2063.213333333333
中正紀念堂,4688.36,10335.953333333333,1173.32,3770.5133333333333
中和,1945.0866666666668,1152.3933333333334,659.3266666666667,359.38
中原,626.0533333333333,2094.8466666666664,176.50666666666666,1095.0866666666666
丹鳳,5675.1466666666665,1141.28,2103.5533333333333,268.68666666666667
內湖,4158.366666666667,1606.1666666666667,1466.8333333333333,318.7266666666667
公館,5141.34,8108.246666666667,1264.42,2042.24
六張犁,3933.9333333333334,3336.7400000000002,1351.96,1144.44
文德,2057.7999999999997,1371.9066666666668,752.42,590.0133333333333
木柵,1737.0733333333333,1155.8133333333333,608.4866666666667,456.74
北投,7480.34,4374.5,2256.5133333333333,999.2266666666667
北門,2998.866666666667,4252.673333333333,995.9,1612.0733333333333
古亭,7981.093333333333,10556.226666666667,2255.5866666666666,3465.3933333333334
台大醫院,4339.2,12896.966666666667,1145.3533333333332,4260.7733333333335
台北101/世貿,3042.9933333333333,12294.713333333333,821.2666666666667,4583.733333333334
台北小巨蛋,2989.08,11348.140000000001,751.4266666666666,4825.826666666667
台北車站,30438.413333333334,33680.86,8608.813333333334,8510.653333333334
台北橋,4483.68,1434.18,1559.4933333333333,290.56
台電大樓,4313.18,4767.753333333333,1304.8,1361.36
市政府,7550.9,24618.3,1796.24,8030.86
民權西路,4564.033333333334,9534.779999999999,1099.3,3432.7266666666665
永安市場,12857.62,3344.306666666667,4835.393333333333,689.98
永春,6159.006666666666,6059.7266666666665,1964.26,1708.6266666666668
永寧,5785.866666666667,2734.3733333333334,1826.5133333333333,748.5266666666666
石牌,9739.18,9953.833333333332,2627.9733333333334,2451.9733333333334
先嗇宮,1205.2933333333333,2518.5866666666666,396.68,1261.6666666666667
江子翠,12595.380000000001,4197.1,4498.1,1039.7866666666666
竹圍,4148.053333333333,1897.78,1192.1933333333334,424.5133333333333
行天宮,4922.946666666667,13404.833333333334,1190.2133333333334,5567.033333333334
西門,11481.153333333334,14738.5,3170.6266666666666,4579.913333333333
西湖,2116.36,9761.16,618.2733333333333,4743.266666666666
秀朗橋,1324.5333333333333,280.6666666666667,507.56666666666666,53.92
辛亥,1957.32,430.87333333333333,773.52,93.49333333333334
亞東醫院,12615.133333333333,4951.233333333334,4398.206666666667,1222.46
奇岩,3643.653333333333,2493.5533333333333,1172.8333333333333,1014.6933333333334
幸福,1718.5533333333333,724.2466666666667,670.82,204.53333333333333
府中,13098.66,3854.9,4530.88,720.7066666666667
