Stations,Value_i_mean_sum,Value_o_mean_sum,Value_i_mean_max,Value_o_mean_max
BL板橋,12363.269569702328,8408.78682581786,4190.567049808429,2298.777777777778
Y板橋,2186.092101385205,2378.2415119363395,786.6781609195402,715.1647509578544
七張,6627.698423224286,3337.8171971706456,2099.122605363985,904.1877394636016
十四張,431.3448717948718,483.59391394046565,156.2911877394636,236.77777777777777
三民高中,6534.6324786324785,1445.3987621573829,2397.04214559387,423.90038314176246
三和國中,6909.977630415562,1389.196021220159,2523.344827586207,282.52107279693485
三重,2852.7510315355144,1332.4675213675214,1054.5249042145595,313.6666666666667
三重國小,6208.329811376363,1336.8087385794283,2076.793103448276,253.80842911877394
土城,3926.0116858237548,1390.7971264367816,1316.0038314176245,323.5249042145594
士林,6957.552652519894,8468.997686413204,1830.3103448275863,1970.072796934866
大安,4179.567256115532,10783.30288829944,1161.6858237547892,3502.8199233716473
大安森林公園,1952.1189213085765,2728.0461243737104,511.5478927203065,779.43678160919535
大坪林,7711.747406424993,7112.521352785146,2407.785440613027,2370.1762452107278
大直,2447.0652225169465,2878.7242263483645,795.43678160919535,837.383141762452
大湖公園,1592.2263041556143,571.7856911287946,570.8467432950191,119.01915708812261
大橋頭站,4037.2915119363397,3907.176569407604,1192.1532567049808,1162.9655172413793
小南門,2016.4253463012085,4587.950250515768,498.48275862068965,1472.5325670498084
小碧潭,1044.1384320660181,683.0005010315355,351.55555555555554,148.6934865900383
中山,4695.828131447097,12779.161450044208,1078.7816091954023,3482.1724137931033
中山國小,4071.3246684350133,5843.466430887121,1184.6781609195402,2104.609195402299
中山國中,3860.2300029472444,4971.5096964338345,1248.4406130268198,2033.6168582375478
中正紀念堂,4617.533023872679,10053.12689360448,1159.5019157088122,3614.080459770115
中和,1765.804818744474,1052.368184497495,570.9233716475096,333.4597701149425
中原,532.593899204244,1874.3448570586502,141.38697318007664,995.007662835249
丹鳳,5752.341217211907,1141.5711022693781,2084.2911877394636,264.17241379310343
內湖,4068.7435602711466,1512.3450928381963,1400.1072796934866,295.3639846743295
公館,5035.816445623343,8085.690008841733,1247.3793103448277,1986.9578544061303
六張犁,3993.1342175066316,3330.4368994989686,1356.4367816091954,1109.7164750957854
文德,1978.7433981727086,1490.8468464485707,698.7509578544061,717.2183908045977
