Stations,Value_i_mean_sum,Value_o_mean_sum,Value_i_mean_max,Value_o_mean_max
BL板橋,17795.639846743295,12391.827586206897,5875.659003831418,3364
七張,8891.716475095785,4725.819923371648,2748.287356321839,1263.632183908046
三民高中,8419.486590038314,1878.7164750957854,3028.4214559386974,508.1417624521073
三和國中,8861.015325670498,1784.6283524904215,3223.1724137931033,347.5249042145594
三重,3437.785440613027,1810.544061302682,1204.0536398467434,429.01149425287355
三重國小,7996.839080459769,1699.5938697318009,2716.9540229885056,359.7739463601533
土城,4689.9731800766285,1589.7739463601533,1542.2413793103449,345.9272030651341
士林,9424.475095785441,11971.295019157089,2419.9386973180076,2519.455938697318
大安,6170.80459770115,14550.823754789271,1614.9118773946361,4667.0421455938695
大安森林公園,2723.310344827586,3411.0766283524904,675.7318007662835,950.0536398467433
大坪林,9277.455938697318,8216.053639846743,2866.0191570881225,2571.191570881226
大直,3454.5862068965516,3912.4214559386974,1076.2567049808429,1059.4521072796936
大湖公園,2098.6513409961685,704.0613026819923,729.088122605364,144.53639846743295
大橋頭站,5497.842911877395,5014.0114942528735,1578.4252873563219,1420.8773946360154
小南門,2991.9616858237546,6441.877394636015,678.536398467433,2131.337164750958
小碧潭,1341.5325670498084,749.0651340996169,432.2413793103448,161.6934865900383
中山,7176.0344827586205,16424.636015325672,1553.3371647509578,4106.521072796935
中山國小,5760.528735632184,7750.333333333333,1567.632183908046,2720.3065134099616
中山國中,5516.735632183908,6774.429118773946,1733.0842911877394,2808.7969348659003
中正紀念堂,7844.206896551724,15028.39846743295,1745.2643678160919,4933.421455938697
丹鳳,6976.022988505747,1316.3295019157088,2462.544061302682,281.2950191570881
內湖,5226.061302681992,1851.5632183908046,1761.4061302681991,350.9961685823755
公館,7385.992337164751,11494.980842911878,1790.2758620689656,2822.6130268199236
六張犁,5427.371647509579,4337.9961685823755,1820.8850574712644,1466.095785440613
文德,2595.6666666666665,1990.337164750958,894.3256704980843,913.0268199233717
木柵,2181.310344827586,1671.6858237547895,719.0689655172414,723.3486590038315
北投,9728.3678160919535,5747.835249042146,2949.1570881226053,1402.471264367816
北門,4057.360153256705,6147.689655172414,1095.6360153256705,2051.9463601532566
古亭,10760.475095785441,14129.977011494253,2908.854406130268,4430.164750957854
台大醫院,6096.015325670498,17176.80459770115,1593.111111111111,5381.134099616858
台北101/世貿,4926.586206896552,18472.42528735632,1156.6781609195402,6110.777777777777
台北小巨蛋,4273.268199233717,14754.823754789271,975.4214559386974,5328.544061302682
台北車站,48749.877394636016,53890.555555555555,12050.367816091954,12445.835249042146
台北橋,5371.681992337165,1773.2260536398467,1767.888888888889,366.7164750957854
台電大樓,6089.0344827586205,6140.693486590038,1737.1494252873563,1723.904214559387
市政府,10897.716475095785,32747.927203065137,2395.0842911877394,10832.325670498085
民權西路,6646.681992337165,12345.892720306514,1505.4597701149426,4254.35632183908
永安市場,17306.66283524904,4493.352490421456,6348.298850574713,865.904214559387
永春,8044.153256704981,7783.203065134099,2466,1988.6858237547892
永寧,7788.961685823755,3697.3946360153254,2351.114942528736,922.8084291187739
石牌,13129.51724137931,13112.712643678162,3491.590038314176,2894.409961685824
先嗇宮,1437.9808429118773,2923.8429118773947,468.01149425287355,1438.3295019157088
江子翠,15436.938697318008,5314.061302681992,5244.08429118774,1396.9463601532566
竹圍,5209.260536398468,2337.1685823754788,1480.3716475095785,463.81609195402297
行天宮,6989.137931034483,17545.409961685822,1556.7739463601533,7084.3524904214555
西門,20195.64367816092,21763.750957854405,4618.931034482759,5618.900383141762
西湖,3080.8314176245212,13211.954022988506,869.0996168582376,6090.065134099616
辛亥,2243.3793103448274,509.95785440613025,866.5823754789272,126.95402298850574
