Stations index1 index2 index3
BL板橋 16001.931297709923 1.8180239675812158 1.4556225837307284
Y板橋 2210.9312977099235 1.038594126642648 0.8580341457489639
七張 8439.404580152672 2.205451499338504 1.9361313868613137
十四張 304.412213740458 0.5571972425146621 0.7417299840970175
三民高中 7960.492366412213 5.8891707034701275 4.473385738951387
三和國中 8437.854961832061 8.65215349308854 5.039960058180094
三重 3391.4083969465646 3.1631571703826036 2.1520287534906473
三重國小 7554.175572519084 7.829103254234923 4.766156143139239
土城 4653.393129770992 4.231587267370841 2.917543708511015
士林 8556.954198473282 0.9676250548924109 0.8310820679464738
大安 5434.6297709923665 0.33370661740109386 0.39691200562416495
大安森林公園 2425.8931297709923 0.6619685730238495 0.7313860667216716
大坪林 9541.679389312976 1.0581918769396843 1.083332141629843
大直 3165.267175572519 1.026396625241583 0.8728812132133144
大湖公園 2005.6641221374045 4.92257566891856 2.9751394196744516
大橋頭站 5013.194656488549 1.041886411923944 1.057981882826382
小南門 2700.1679389312976 0.32663218597180155 0.4466474482574004
小碧潭 1299.1221374045801 1.9656675372295345 1.4153363799290606
中山 5919.786259541985 0.33689160228531617 0.3886530189830517
中山國小 5053.988549618321 0.574042873340327 0.7068990921291882
中山國中 4970.553435114503 0.623246809395995 0.7919249842653037
中正紀念堂 6162.755725190839 0.3346622802749939 0.49054898982226947
中和 1730.9809160305342 1.6888812662321753 1.6770465857572865
中原 506.2175572519084 0.1441303077231558 0.310888322671836
丹鳳 6911.20610687023 8.328589298478505 5.194055367351564
內湖 4939.56106870229 5.027460810780155 2.785067142980115
公館 6499.748091603054 0.5977816754173273 0.6182619811508107
六張犁 5046.347328244275 1.24911109638807 1.215821814008578
文德 2465.0343511450383 0.9909888742401893 1.3064434235732245
木柵 2082.706106870229 1.1220086188453193 1.378954896490377
北投 9211.740458015267 2.1080342122004665 1.7250585925354647
北門 3429.522900763359 0.5488255177948513 0.6549867076044749
古亭 10004.919847328245 0.648324433920748 0.7527118760875933
台大醫院 5170.015267175572 0.2682290619787728 0.3318627639534021
台北101/世貿 3898.8664122137407 0.18088968694945115 0.2568792643341478
台北小巨蛋 3768.4961832061067 0.17113979375810967 0.2722325280794784
台北車站 40277.229007633585 0.9580783722348429 0.8989571377738568
台北橋 5103.633587786259 4.921391598754246 2.9868143895819608
台電大樓 5557.557251908397 0.9876121325627605 0.9630974050713289
市政府 9842.652671755724 0.21658009330043881 0.3163623667441877
民權西路 5811.332061068702 0.3462197806571567 0.5032058294538391
永安市場 16041.702290076335 7.160807348165471 3.8607691911991653
永春 7485.454198473282 1.2245527729836139 0.996157974108484
永寧 7159.916030534351 2.4935570690505653 2.157332857988948
石牌 12046.335877862595 1.1618508054536332 1.0095890713312132
先嗇宮 1403.9045801526718 0.2951807682367789 0.4708068110401006
江子翠 14652.698473282442 3.8038395828995664 2.868940690980751
竹圍 4870.412213740458 2.9690628516051674 2.2557412288377536
行天宮 6176.553435114504 0.214590284372531 0.37304235732704355
西門 15189.576335877862 0.7823807645671105 0.8383923353612318
西湖 2801.7137404580153 0.13129690881048234 0.2162775403990673
秀朗橋 1250.503816793893 8.33645855529512 4.638643088728744
辛亥 2227.2862595419847 7.973632122154673 4.779114525322675
亞東醫院 15042.946564885497 3.472715840607673 2.471862954280045
奇岩 4515.293893129771 1.420827389443652 1.7244396697491635
幸福 1501.18320610687 3.6010210624969172 2.368566851747022
府中 16570.450381679388 5.792777437694797 3.3714117976869318
忠孝復興 6540.37786259542 0.3759817816119269 0.3825447529937463
忠孝敦化 4426.473282442748 0.19297923903077432 0.2859387917174262
忠孝新生 5959.961832061069 0.2906871672792027 0.40988860761088575
忠義 1131.7213740458017 0.344802321433736 0.5866242756497637
昆陽 4773.935114503817 0.44213497363433063 0.6583628975376615
明德 6228.011450381679 1.2596128347918325 1.4862621723119356
東門 5933.832061068702 0.5004520502481508 0.583963561813225
東湖 4826.721374045801 2.542632417043316 2.651316327407746
松山 8650.270992366412 1.0215442289288685 0.9849474599599217
松山機場 1515.4580152671756 0.5646948579428385 0.7187752309023567
松江南京 5409.332061068702 0.10660185037882221 0.2225833231772054
板新 1101.618320610687 1.5434610387552683 1.5663868100140563
芝山 9479.595419847328 1.453156218507165 1.2302546100109322
信義安和 4419.862595419847 0.324644768361694 0.4713374499917984
南京三民 6183.618320610687 0.3722588986396037 0.48708748019084136
南京復興 6987.217557251908 0.16381858046402908 0.28396075909999385
南港 7172.625954198473 1.3861946514784576 1.0834801148730107
南港展覽館 13094.022900763359 0.9079159547555661 1.078371827445872
南港軟體園區 922.706106870229 0.1404989312644924 0.254921024243696
南勢角 14218.187022900764 10.370683184550922 5.288708079084334
後山埤 7525.820610687023 2.2241395856362427 1.7323887233707937
科技大樓 4886.099236641221 0.7889106214269412 0.8199113964506061
紅樹林 5841.412213740458 2.719466092529137 2.2186126006236386
徐匯中學 7817.022900763359 8.943330130983904 4.674794057159552
海山 14055.229007633588 5.547682198673414 4.0025455636325695
迴龍 7143.4503816793895 4.828711484593837 3.405176946631273
動物園 1915.9083969465648 1.7162354034541214 0.8031757867064333
唭哩岸 4280.015267175572 5.382689629901063 3.245899076912389
國父紀念館 3812.9580152671756 0.2743543114459527 0.3640889839388211
淡水 16435.431297709925 3.4156352617564636 2.1587871118983175
頂埔 4957.725190839695 1.4426713786497374 1.564082989150722
頂溪 20829.75572519084 6.418331739961759 3.359518066949099
善導寺 3732.083969465649 0.2081153574968074 0.28756318896149974
復興崗 2116.9809160305344 2.3048730844484133 2.391862521022899
