Stations,Value_i_mean_sum,Value_o_mean_sum,Value_i_mean_max,Value_o_mean_max
BL板橋,16001.931297709923,10993.187022900764,5446.973282442748,2996.0954198473282
Y板橋,2210.9312977099235,2576.740458015267,764.6946564885496,736.2786259541984
七張,8439.404580152672,4358.900763358779,2627.7786259541986,1191.4923664122136
十四張,304.412213740458,410.4083969465649,103.3473282442748,185.4770992366412
三民高中,7960.492366412213,1779.5229007633588,2951.148854961832,501.1145038167939
三和國中,8437.854961832061,1674.1908396946565,3093.8053435114502,357.5763358778626
三重,3391.4083969465646,1575.9122137404581,1228.1259541984732,388.25954198473283
三重國小,7554.175572519084,1584.9618320610687,2570.187022900763,328.28625954198475
土城,4653.393129770992,1594.969465648855,1573.4236641221373,371.82824427480915
士林,8556.954198473282,10296.160305343512,2312.790076335878,2390.171755725191
大安,5434.6297709923665,13692.278625954199,1500.1946564885495,4495.5496183206105
大安森林公園,2425.8931297709923,3316.843511450382,633.5190839694657,957.0229007633587
大坪林,9541.679389312976,8807.713740458015,2993.2290076335876,2828.625954198473
大直,3165.267175572519,3626.229007633588,1031.7519083969466,1005.2175572519084
大湖公園,2005.6641221374045,674.1412213740458,706.4083969465648,143.50381679389312
大橋頭站,5013.194656488549,4738.4503816793895,1474.881679389313,1415.5877862595419
小南門,2700.1679389312976,6045.412213740458,645.7480916030535,1976.9885496183206
小碧潭,1299.1221374045801,917.8893129770993,433.7748091603053,220.67557251908397
中山,5919.786259541985,15231.545801526718,1328.9923664122136,3944.8664122137407
中山國小,5053.988549618321,7149.519083969466,1447.3702290076335,2521.3625954198474
中山國中,4970.553435114503,6276.545801526718,1612.0992366412213,2586.614503816794
中正紀念堂,6162.755725190839,12562.977099236641,1522.8053435114505,4550.274809160305
中和,1730.9809160305342,1032.1603053435115,526.1832061068702,311.55725190839695
中原,506.2175572519084,1628.293893129771,128.94656488549617,894.6526717557252
丹鳳,6911.20610687023,1330.5992366412213,2490.43893129771,299.0229007633588
內湖,4939.56106870229,1773.587786259542,1691.7213740458014,336.4961832061069
公館,6499.748091603054,10512.935114503816,1598.7442748091603,2674.461832061069
六張犁,5046.347328244275,4150.564885496183,1727.0343511450383,1382.6106870229007
文德,2465.0343511450383,1886.8282442748093,869.2977099236641,877.2022900763359
木柵,2082.706106870229,1510.351145038168,700.5916030534352,624.4083969465648
北投,9211.740458015267,5339.958015267175,2845.6450381679388,1349.9045801526718
北門,3429.522900763359,5236.019083969466,1046.679389312977,1907.1259541984732
古亭,10004.919847328245,13291.832061068702,2777.763358778626,4284.526717557252
台大醫院,5170.015267175572,15578.774809160304,1349.7480916030534,5032.072519083969
台北101/世貿,3898.8664122137407,15177.81679389313,1018.9198473282443,5632.824427480916
台北小巨蛋,3768.4961832061067,13842.931297709923,908.6641221374045,5309.484732824428
台北車站,40277.229007633585,44804.39312977099,10715.664122137405,11184.538167938932
台北橋,5103.633587786259,1708.7213740458014,1730.996183206107,351.7290076335878
台電大樓,5557.557251908397,5770.503816793893,1618.2175572519084,1638.5152671755725
市政府,9842.652671755724,31111.958015267177,2220.492366412214,10252.522900763359
民權西路,5811.332061068702,11548.618320610687,1394.4503816793892,4027.6450381679388
永安市場,16041.702290076335,4155.053435114503,5983.893129770992,835.6450381679389
永春,7485.454198473282,7514.324427480916,2388.522900763359,1950.526717557252
永寧,7159.916030534351,3318.874045801527,2199.5267175572517,882.0839694656488
石牌,12046.335877862595,11931.919847328245,3278.889312977099,2822.125954198473
先嗇宮,1403.9045801526718,2981.912213740458,449.0229007633588,1521.179389312977
江子翠,14652.698473282442,5107.354961832061,5090.335877862595,1338.2099236641222
竹圍,4870.412213740458,2159.118320610687,1379.854961832061,464.7442748091603
行天宮,6176.553435114504,16557.24427480916,1478.2862595419847,6888.87786259542
西門,15189.576335877862,18117.50381679389,4073.3549618320612,5206.358778625954
西湖,2801.7137404580153,12954.251908396947,786.9465648854962,5993.641221374046
秀朗橋,1250.503816793893,269.58396946564886,447.9732824427481,53.73664122137404
辛亥,2227.2862595419847,466.0458015267176,861.0305343511451,107.98473282442748
亞東醫院,15042.946564885497,6085.67175572519,5227.935114503817,1505.4312977099237
奇岩,4515.293893129771,2618.412213740458,1490.1984732824428,1048.824427480916
幸福,1501.18320610687,633.7938931297709,557.2786259541984,154.75572519083968
府中,16570.450381679388,4914.988549618321,5526.1106870229005,953.9656488549618
忠孝復興,6540.37786259542,17097.02671755725,1419.1030534351146,3774.3931297709923
忠孝敦化,4426.473282442748,15480.492366412214,968.0229007633587,5016.202290076336
忠孝新生,5959.961832061069,14540.442748091604,1424.293893129771,4899.748091603054
忠義,1131.7213740458017,1929.2099236641222,273.0229007633588,791.824427480916
昆陽,4773.935114503817,7251.221374045802,1306.9847328244275,2956.0763358778627
明德,6228.011450381679,4190.385496183206,1831.1068702290077,1453.706106870229
東門,5933.832061068702,10161.30534351145,1502.1526717557251,3001.591603053435
東湖,4826.721374045801,1820.5,1810.0534351145038,711.8816793893129
松山,8650.270992366412,8782.469465648855,3251.263358778626,3182.6946564885498
松山機場,1515.4580152671756,2108.389312977099,381.80916030534354,676.1335877862596
松江南京,5409.332061068702,24302.50381679389,1212.2900763358778,11372.129770992366
板新,1101.618320610687,703.2862595419847,371.80916030534354,240.89312977099237
芝山,9479.595419847328,7705.393129770992,3159.083969465649,2173.946564885496
信義安和,4419.862595419847,9377.278625954199,1249.1946564885495,3847.881679389313
南京三民,6183.618320610687,12695.087786259543,1862.7366412213742,5003.874045801526
南京復興,6987.217557251908,24606.278625954197,1755.824427480916,10718.103053435114
南港,7172.625954198473,6619.988549618321,2365.9961832061067,1706.828244274809
南港展覽館,13094.022900763359,12142.400763358779,4186.17175572519,4610.748091603054
南港軟體園區,922.706106870229,3619.5763358778627,266.18702290076334,1894.5839694656488
南勢角,14218.187022900764,2688.4045801526718,5431.744274809161,523.7595419847328
後山埤,7525.820610687023,4344.187022900764,2388.3778625954196,1073.8435114503816
科技大樓,4886.099236641221,5959.301526717557,1596.4389312977098,2023.5992366412213
紅樹林,5841.412213740458,2632.912213740458,2053.736641221374,755.1984732824427
徐匯中學,7817.022900763359,1672.1641221374045,2913.5458015267177,325.77862595419845
海山,14055.229007633588,3511.5725190839694,5117.270992366412,922.4160305343512
迴龍,7143.4503816793895,2097.820610687023,2631.8320610687024,545.0381679389313
動物園,1915.9083969465648,2385.416030534351,761.2290076335878,443.5458015267176
唭哩岸,4280.015267175572,1318.5916030534352,1401.6564885496184,260.40076335877865
國父紀念館,3812.9580152671756,10472.599236641221,967.3816793893129,3526.030534351145
淡水,16435.431297709925,7613.270992366412,5038.022900763359,1474.9885496183206
頂埔,4957.725190839695,3169.732824427481,1813.6526717557251,1257.148854961832
頂溪,20829.75572519084,6200.221374045802,7174.812977099236,1117.8625954198474
善導寺,3732.083969465649,12978.309160305344,966.6068702290077,4644.572519083969
復興崗,2116.9809160305344,885.0763358778626,669.9351145038167,290.6603053435114
景平,1458.1946564885495,771.4656488549618,476.32442748091603,307.0267175572519
景安,16613.003816793895,4411.32824427481,5898.114503816794,1102.4847328244275
景美,7458.9312977099235,4785.767175572519,2333.0725190839694,1097.179389312977
港墘,3834.874045801527,10366.385496183206,1254.996183206107,4683.603053435115
菜寮,6026.32824427481,2195.610687022901,2129.2442748091603,552.5458015267176
象山,3975.977099236641,7241.954198473282,1274.3358778625955,2822.6832061068703
圓山,10537.553435114503,9363.545801526718,2831.610687022901,2583.7290076335876
新北投,1564.0992366412213,1732.9503816793892,388.99236641221376,414.01908396946567
新北產業園區,941.912213740458,1827.2519083969466,301.4961832061069,679.6832061068702
新店,7428.316793893129,2646.0190839694656,2586.083969465649,628.3702290076336
新店區公所,6737.015267175572,2385.5114503816794,2365.1335877862593,624.6717557251908
新埔,22912.27099236641,7755.053435114503,8081.786259541985,1754.0725190839694
新埔民生,872.0801526717557,488.1526717557252,293.2709923664122,115.59160305343511
新莊,6405.1106870229005,2064.343511450382,2446.1679389312976,641.3549618320611
萬芳社區,1764.9083969465648,355.6603053435114,717.4465648854962,120.49618320610686
萬芳醫院,6709.446564885497,4138.564885496183,2435.8549618320612,1124.5687022900763
萬隆,5761.263358778626,1975.5839694656488,1980.5152671755725,467.69847328244276
葫洲,4365,2312.312977099237,1516.9007633587787,672.7404580152672
輔大,4231.4312977099235,4537.32824427481,1393.6412213740457,1222.8778625954199
劍南路,2690.412213740458,4527.18320610687,878.324427480916,1434.4351145038167
劍潭,8558.198473282442,10311.408396946565,2028.9618320610687,2832.797709923664
橋和,258.5381679389313,1077.7137404580153,53.68320610687023,544.8549618320611
頭前庄,3036.469465648855,1562.3473282442746,1147.1679389312976,455.1297709923664
龍山寺,11847.141221374046,7050.141221374046,3103.530534351145,1381.4618320610687
雙連,5438.3091603053435,10937.041984732825,1045.1526717557251,3470.648854961832
關渡,4408.007633587787,6530.603053435114,1060.8473282442749,2151.8473282442746
蘆洲,10580.729007633588,1570.6946564885495,3848.732824427481,313.5038167938931
麟光,2523.3778625954196,769.5610687022901,878.1984732824427,175.9770992366412
