Stations,Value_i_mean_sum,Value_o_mean_sum,Value_i_mean_max,Value_o_mean_max
BL板橋,17248.226053639846,11798.16858237548,5801.743295019157,3206.6206896551726
七張,8585.141762452107,4573.099616858238,2691.222222222222,1256.4214559386974
三民高中,8348.360153256705,1840.2988505747126,2968.383141762452,506.84674329501917
三和國中,8496.329501915709,1714.0536398467434,3057.655172413793,339.6130268199234
三重,3209.831417624521,1567.904214559387,1120.0881226053639,379.0191570881226
三重國小,7848.379310344828,1652.3065134099616,2715.088122605364,345.63984674329504
土城,4518.11877394636,1502.7356321839081,1489.8773946360154,341.0689655172414
士林,9223.003831417624,11675.766283524905,2410.0344827586205,2547.272030651341
大安,5959.743295019157,14192.475095785441,1563.8505747126437,4513.268199233717
大安森林公園,2654.2911877394636,3388.908045977011,670.176245210728,933.088122605364
大坪林,9028.329501915709,8141.9961685823755,2832.0613026819924,2511.0842911877394
大直,3395.1494252873563,3922.942528735632,1060.5555555555557,1032.1532567049808
大湖公園,2021.766283524904,666.0651340996169,699.9003831417624,131.20689655172413
大橋頭站,5353.574712643678,4803.425287356322,1544.7816091954023,1402.9540229885058
小南門,2852.9885057471265,6184.47509578544,651.4022988505748,2066.8582375478927
小碧潭,1245.7586206896551,494.7049808429119,430.7432950191571,125.06513409961686
中山,6778.578544061303,15685.56704980843,1457.0191570881227,4087.256704980843
中山國小,5519.36398467433,7625.785440613027,1495.27969348659,2667.9731800766285
中山國中,5513.567049808429,6816.333333333333,1740.544061302682,2846.7471264367814
中正紀念堂,7769.065134099617,14897.421455938696,1698.360153256705,5061.287356321839
丹鳳,6577.846743295019,1225.5900383141761,2313.5019157088122,261.04214559386975
內湖,4938.9961685823755,1688.3869731800767,1693.3141762452108,313.76245210727967
公館,7214.563218390805,11298.988505747126,1781.3486590038315,2802.344827586207
六張犁,5312.789272030651,4180.229885057472,1797.5172413793102,1405.3180076628353
文德,2564.685823754789,1905.5555555555554,900.3218390804598,852.095785440613
木柵,2112.632183908046,1662.5747126436781,692.3639846743295,759.7471264367816
北投,9235.536398467433,5448.406130268199,2868.6015325670496,1338.5593869731802
北門,3474.9310344827586,5548.218390804598,951.0459770114943,1952.9961685823755
古亭,10348.992337164751,13569.900383141763,2864.7318007662834,4274.816091954023
台大醫院,5843.180076628352,16827.333333333336,1527.8927203065134,5325.6628352490425
