Stations,index1,index2,index3,index4
BL板橋,17248.226053639846,1.809301397491779,1.4619409727206183,0.5938164192072689
七張,8585.141762452107,2.1419741039136877,1.8773135251206663,0.6524535851691509
三民高中,8348.360153256705,5.856569428590865,4.536415458092346,0.8193777169416826
三和國中,8496.329501915709,9.003350669569828,4.956863253518356,0.8321264132747448
三重,3209.831417624521,2.9552282560349363,2.047211422622873,0.6718311067699875
三重國小,7848.379310344828,7.855252072894958,4.749953623403486,0.826085553815635
土城,4518.11877394636,4.368258461676721,3.006595888978976,0.7504115644029087
士林,9223.003831417624,0.9461237173567093,0.7899270683785223,0.44131801922751507
大安,5959.743295019157,0.34650069654140236,0.4199227587011195,0.2957363392676695
大安森林公園,2654.2911877394636,0.7182346757768872,0.7832290377103578,0.43921954002948127
大坪林,9028.329501915709,1.1278240689174281,1.1088594633283466,0.5258100326791186
大直,3395.1494252873563,1.0275175209360339,0.8654598940509118,0.4639391588159718
大湖公園,2021.766283524904,5.3343261790042344,3.0353882526187417,0.7521923697549905
大橋頭站,5353.574712643678,1.1010921127014428,1.114532732867829,0.5270822794765854
小南門,2852.9885057471265,0.31516544628788584,0.46131457586293206,0.31568464688071535
小碧潭,1245.7586206896551,3.4441517063905396,2.518184916123236,0.7157625241876366
中山,6778.578544061303,0.3564785043504997,0.43215387257192533,0.301751006542226
中山國小,5519.36398467433,0.5604552941734007,0.723776459180136,0.41987837536914685
中山國中,5513.567049808429,0.6114150586607555,0.8088757958543346,0.4471704457034329
中正紀念堂,7769.065134099617,0.33555892674921045,0.5215040171265721,0.34275559660463834
丹鳳,6577.846743295019,8.862560911172428,5.367085679272477,0.8429422736911775
內湖,4938.9961685823755,5.396803106530553,2.925274979633239,0.7452407779866073
公館,7214.563218390805,0.6356636205039021,0.6385140771424967,0.3896909315884791
六張犁,5312.789272030651,1.279082194619235,1.2709323214547585,0.5596522227666387
文德,2564.685823754789,1.0565969864701412,1.3458992661103852,0.5737242368219636
木柵,2112.632183908046,0.9113084611738126,1.2706990957108488,0.5596069942120856
北投,9235.536398467431,2.1430513733527206,1.6950895688851317,0.6289548178490905
北門,3474.9310344827586,0.4869676614377752,0.6263147536228881,0.3851128769677993
古亭,10348.992337164753,0.6701415310376104,0.7626432062848133,0.43267021003772166
台大醫院,5843.180076628352,0.286892499125898,0.34724337842963937,0.2577436148429171
台北101/世貿,4665.149425287356,0.1814394197426341,0.27780828781355144,0.21740999057762192
台北小巨蛋,4143.582375478927,0.18599448477718997,0.2798554292690778,0.21866175106113547
台北車站,47520.80842911878,0.9549711319701253,0.8975340796012881,0.4730002423934746
台北橋,5233.934865900383,5.164561939644519,3.0832812327193357,0.7550989160415894
台電大樓,6051.521072796935,1.0289052168850334,1.0109185426411367,0.5027148147499789
市政府,10740.06896551724,0.22981643602680255,0.3400695168215737,0.25377005636854055
民權西路,6692.628352490421,0.36757495948136143,0.5616718939612689,0.3596606279034429
永安市場,16828.264367816093,7.3349665782686095,3.839000117123244,0.7933457375912414
永春,7914.088122605364,1.2480248214268455,1.053476137653164,0.5130208811956977
永寧,7146.363984674329,2.5056327847465245,2.0269407360316447,0.669633439433964
石牌,12973.153256704982,1.2124369120402163,1.0195543460325223,0.5048412527424522
先嗇宮,1399.888888888889,0.32637809614630736,0.4874024350712152,0.3276869955156951
江子翠,15319.333333333334,3.842360773211837,2.931214068609986,0.7456256559557989
竹圍,5158.061302681992,3.3556733354522255,2.255560768019301,0.6928332563092026
行天宮,6719.819923371648,0.22286089613616242,0.4039639704380148,0.2877310094446258
西門,19585.78544061303,0.7896780985589148,0.9296591849194105,0.4817737723764087
西湖,3043.3141762452105,0.14466922998574047,0.23410764521847796,0.1896979134077345
辛亥,2208.344827586207,6.640164760267884,4.460888341962897,0.8168796105359383
亞東醫院,14407.90038314176,3.3046993234940305,2.360659421922935,0.702439350599886
奇岩,4866.310344827586,1.191499631410819,1.4302523563393128,0.5885200985850296
府中,16830.70881226054,5.4934527550806616,3.2906903923974586,0.7669372738308341
忠孝復興,7338.727969348659,0.41275426894549144,0.3811737491507507,0.2759781304742614
忠孝敦化,5186.0191570881225,0.2016213743561941,0.3044863193276403,0.23341472794025084
忠孝新生,6661.471264367816,0.3067086166649751,0.43476610470581256,0.30302228584843655
忠義,1190.5708812260536,0.45824529005451287,0.6924561391780261,0.4091427382657791
昆陽,5192.620689655172,0.5051879424643098,0.7542621106943875,0.4299597569235699
明德,6485.812260536399,1.2953079645417631,1.4656898269966898,0.5944339839297464
東門,6553.015325670498,0.5164467676988772,0.5944032151225307,0.3728060816014163
東湖,4928.187739463601,2.5730159583042282,2.673252860806637,0.727761731115782
松山,8954.6321839080465,1.0778020357465763,1.0255370758867748,0.5063037789312237
松山機場,1793.367816091954,0.4552548890869015,0.6280824169557254,0.3857804804072187
松江南京,6073.597701149425,0.11246655329776337,0.24135227762357966,0.19442690199563634
芝山,9857.93103448276,1.5157426670833516,1.238929104375198,0.5533578986284772
信義安和,4636.743295019157,0.35763813918814247,0.519228384719577,0.3417711187744939
南京三民,6393.36398467433,0.3659136634674415,0.4906820955970678,0.3291661562491185
南京復興,7576.0114942528735,0.1664135363780725,0.30978794992040426,0.23651763626259506
南港,6823.402298850575,1.3714644259381954,1.0721850827930992,0.5174176243696825
南港展覽館,13398.704980842913,0.9342958537367402,1.086339300275696,0.5206915769319704
南港軟體園區,927.4444444444443,0.15705659577251616,0.2835560386988399,0.22091442067950917
南勢角,14839.793103448275,8.825074619621928,4.893333484939793,0.8303167464465628
